ADJMT_ID;ADJMT_SUBMSN_STUS_CD
C_40003;SUBMITTED_TO_FDW
C_40005;SUBMITTED_TO_FDW
C_40017;POSTED
C_40108;POSTED
C_40111;POSTED
C_40112;POSTED
C_40842;POSTED
C_40844;POSTED
C_40847;POSTED
C_41141;POSTED
C_41142;POSTED
C_41144;FAILED
C_41146;FAILED
C_25057;POSTED
C_25063;POSTED
C_25082;POSTED
C_25093;POSTED
C_25188;POSTED
C_25189;POSTED
C_25191;POSTED
C_25201;POSTED
C_25202;POSTED
C_25204;POSTED
C_25207;POSTED
C_25209;POSTED
C_25211;POSTED
C_25212;POSTED
C_25214;POSTED
C_25215;POSTED
C_25218;POSTED
C_25220;POSTED
C_25222;POSTED
C_25224;POSTED
C_25227;POSTED
C_25232;POSTED
C_25233;POSTED
C_25236;POSTED
C_25239;POSTED
C_41081;POSTED
C_40919;POSTED
C_40954;POSTED
C_41055;POSTED
C_41097;QUEUED_IN_ASM
C_41101;POSTED
C_41120;FAILED
C_41121;POSTED
C_41123;FAILED
C_41188;FAILED
C_41181;POSTED
C_25066;POSTED
C_25068;POSTED
C_25069;POSTED
C_25181;POSTED
C_25183;POSTED
C_25185;POSTED
114;FAILED
C_40930;POSTED
C_41046;POSTED
C_41069;FAILED
C_40963;POSTED
C_40958;POSTED
C_40941;POSTED
C_40927;POSTED
C_41080;POSTED
C_41007;POSTED
C_41031;POSTED
C_41071;POSTED
C_41078;POSTED
C_40984;POSTED
C_40964;POSTED
C_40981;POSTED
C_40956;POSTED
C_41068;POSTED
C_41063;POSTED
C_41053;POSTED
C_41048;POSTED
C_41038;POSTED
C_41093;POSTED
C_41094;POSTED
C_41540;POSTED
C_41542;POSTED
C_41548;POSTED
C_41549;POSTED
C_41547;POSTED
C_41554;POSTED
C_41555;POSTED
C_41553;POSTED
C_41562;POSTED
C_41559;POSTED
C_41558;POSTED
C_41564;POSTED
C_41570;POSTED
C_41567;POSTED
C_41569;POSTED
C_41622;POSTED
C_41617;POSTED
C_41628;POSTED
C_41629;POSTED
C_41673;POSTED
C_24991;POSTED
C_25022;POSTED
C_25023;POSTED
C_25024;POSTED
C_25028;POSTED
C_25026;POSTED
C_25025;FAILED
C_25027;POSTED
C_25030;POSTED
C_25029;POSTED
C_25032;POSTED
C_25033;POSTED
C_25035;POSTED
C_25034;POSTED
C_25037;POSTED
C_25036;POSTED
C_25038;POSTED
C_25039;POSTED
C_25041;POSTED
C_25042;POSTED
C_25043;POSTED
C_25044;POSTED
C_25045;POSTED
C_25047;POSTED
C_25046;POSTED
C_25048;POSTED
C_25049;POSTED
C_25050;POSTED
C_25051;POSTED
C_25140;POSTED
C_25144;POSTED
C_25146;POSTED
C_25148;POSTED
C_25149;POSTED
C_25151;POSTED
C_25155;POSTED
C_25157;POSTED
C_25174;POSTED
C_40004;SUBMITTED_TO_FDW
126;POSTED
C_41002;POSTED
C_40967;POSTED
C_40982;POSTED
C_41011;POSTED
C_40933;POSTED
C_40987;POSTED
C_41056;POSTED
C_41035;POSTED
C_41020;POSTED
C_41042;POSTED
C_41070;POSTED
C_41084;POSTED
C_40988;POSTED
C_41030;POSTED
C_41076;POSTED
C_40998;POSTED
C_40972;POSTED
C_40983;POSTED
C_41061;POSTED
C_41086;POSTED
C_41037;POSTED
C_41025;POSTED
C_41049;POSTED
C_40969;POSTED
C_40934;POSTED
C_40939;POSTED
C_40937;POSTED
C_40968;POSTED
C_40911;POSTED
C_41015;POSTED
C_40915;POSTED
C_40945;POSTED
C_40912;POSTED
C_41074;POSTED
C_41039;POSTED
C_40991;POSTED
C_41008;POSTED
C_41067;POSTED
C_41102;QUEUED_IN_ASM
C_41127;POSTED
C_41128;POSTED
C_41148;POSTED
C_41171;POSTED
C_41173;POSTED
C_41201;POSTED
C_41214;POSTED
C_41222;POSTED
C_41218;POSTED
C_41221;FAILED
C_41225;POSTED
C_41226;POSTED
C_41227;POSTED
C_41236;POSTED
C_41233;POSTED
C_41234;POSTED
C_41231;POSTED
C_41237;POSTED
C_41242;FAILED
C_41241;FAILED
C_41247;FAILED
C_41248;FAILED
C_41244;FAILED
C_41252;FAILED
C_41249;FAILED
C_41250;FAILED
C_41255;FAILED
C_41257;POSTED
C_41260;FAILED
C_41265;POSTED
C_41262;POSTED
C_41266;FAILED
C_41269;FAILED
C_41270;FAILED
C_41272;POSTED
C_41276;POSTED
C_41277;POSTED
C_41278;POSTED
C_41283;POSTED
C_41285;POSTED
C_41280;POSTED
C_41289;POSTED
C_41287;POSTED
C_41286;POSTED
C_41294;POSTED
C_41337;POSTED
C_41339;POSTED
C_41345;POSTED
C_41421;POSTED
C_41427;POSTED
C_41426;POSTED
C_41430;POSTED
C_41437;POSTED
C_41434;POSTED
C_25073;POSTED
C_25107;POSTED
C_25136;POSTED
C_25138;POSTED
C_25187;POSTED
C_25190;POSTED
C_25192;POSTED
C_25194;POSTED
C_25203;POSTED
C_25205;POSTED
108;SUBMITTED_TO_FDW
110;SUBMITTED_TO_FDW
C_40018;POSTED
C_40977;POSTED
C_40952;POSTED
C_40913;POSTED
C_40959;POSTED
C_40980;POSTED
C_41044;FAILED
C_41024;POSTED
C_41034;POSTED
C_40910;POSTED
C_41057;SUBMITTED_TO_FIM
C_41073;POSTED
C_40935;POSTED
C_40916;POSTED
C_40920;POSTED
C_40999;POSTED
C_40949;POSTED
C_40909;POSTED
C_40944;POSTED
C_40931;QUEUED_IN_ASM
C_41022;POSTED
C_41085;POSTED
C_41028;POSTED
C_41004;POSTED
C_41033;POSTED
C_41043;POSTED
C_41100;POSTED
C_41088;POSTED
C_41107;POSTED
C_41091;POSTED
C_41092;POSTED
C_41106;POSTED
C_41090;POSTED
C_41111;POSTED
C_41112;POSTED
C_41109;POSTED
C_41115;POSTED
C_41116;FAILED
C_41129;POSTED
C_41132;FAILED
C_41134;FAILED
C_41135;FAILED
C_41150;POSTED
C_41152;POSTED
C_41153;POSTED
C_41159;POSTED
C_41155;POSTED
C_41160;POSTED
C_41162;POSTED
C_24990;POSTED
C_25097;POSTED
C_25098;POSTED
C_25100;POSTED
C_25103;POSTED
C_25105;POSTED
C_25106;POSTED
C_25217;POSTED
C_25219;POSTED
C_25221;POSTED
C_25223;POSTED
C_25234;POSTED
C_25235;POSTED
C_8633;POSTED
C_40011;POSTED
C_40975;POSTED
C_41000;POSTED
C_41017;POSTED
C_40995;POSTED
C_41131;POSTED
C_41130;POSTED
C_41133;POSTED
C_41136;POSTED
C_41138;POSTED
C_41140;POSTED
C_41143;POSTED
C_41145;FAILED
C_41167;POSTED
C_41169;POSTED
C_25009;POSTED
C_25067;POSTED
C_25070;POSTED
C_25075;POSTED
C_25076;POSTED
C_25078;POSTED
C_25080;POSTED
C_25084;POSTED
C_25086;POSTED
C_25088;POSTED
C_25091;POSTED
C_25092;POSTED
C_25137;POSTED
C_25208;POSTED
C_25210;POSTED
C_40010;SUBMITTED_TO_FIM
109;SUBMITTED_TO_FDW
111;FAILED
C_40015;POSTED
C_40016;POSTED
118;QUEUED_IN_ASM
C_40113;POSTED
C_40114;POSTED
C_41083;POSTED
C_40950;POSTED
C_41060;POSTED
C_24984;POSTED
C_25083;POSTED
C_25085;POSTED
C_25087;POSTED
C_25089;POSTED
C_25090;POSTED
C_25180;POSTED
C_25182;POSTED
C_25184;POSTED
C_25186;POSTED
C_40014;POSTED
C_40948;POSTED
C_40962;POSTED
C_40940;POSTED
C_40985;POSTED
C_41019;POSTED
C_41079;FAILED
C_41027;POSTED
C_41050;POSTED
C_40932;POSTED
C_40917;POSTED
C_40961;POSTED
C_41052;SUBMITTED_TO_FIM
C_40951;POSTED
C_41029;POSTED
C_41089;POSTED
C_41001;POSTED
C_41023;POSTED
C_41096;POSTED
C_41103;POSTED
C_41104;POSTED
C_41105;POSTED
C_41108;POSTED
C_41113;POSTED
C_41110;POSTED
C_41114;POSTED
C_41117;FAILED
C_41183;FAILED
C_41190;POSTED
C_41189;FAILED
C_41193;POSTED
C_41191;POSTED
C_41195;POSTED
C_41196;POSTED
C_41203;POSTED
C_41200;POSTED
C_41199;POSTED
C_41208;POSTED
C_41210;POSTED
C_41204;POSTED
C_41211;POSTED
C_41215;POSTED
C_41212;POSTED
C_41217;POSTED
C_41224;POSTED
C_41219;POSTED
C_41220;POSTED
C_41223;POSTED
C_41228;POSTED
C_41229;POSTED
C_41230;POSTED
C_41235;POSTED
C_41232;POSTED
C_41238;POSTED
C_41240;POSTED
C_41239;FAILED
C_41243;FAILED
C_41246;FAILED
C_41245;FAILED
C_41251;FAILED
C_41254;FAILED
C_41253;FAILED
C_41258;FAILED
C_41259;FAILED
C_41256;FAILED
C_41263;FAILED
C_41264;FAILED
C_41261;FAILED
C_41267;FAILED
C_41271;FAILED
C_41273;FAILED
C_41268;FAILED
C_41275;POSTED
C_41274;POSTED
C_41284;POSTED
C_41282;POSTED
C_41279;POSTED
C_41281;POSTED
C_41288;POSTED
C_41290;POSTED
C_41291;POSTED
C_41295;POSTED
C_41292;POSTED
C_41293;POSTED
C_41300;POSTED
C_41299;POSTED
C_41302;POSTED
C_41304;POSTED
C_41309;POSTED
C_41307;POSTED
C_41308;POSTED
C_41315;POSTED
C_41314;POSTED
C_41316;POSTED
C_41323;POSTED
C_41318;POSTED
C_41322;POSTED
C_41325;POSTED
C_41327;POSTED
C_41329;POSTED
C_41331;POSTED
C_41336;POSTED
C_41332;POSTED
C_41333;POSTED
C_41342;POSTED
C_41338;POSTED
C_41343;POSTED
C_41344;POSTED
C_41348;POSTED
C_41349;POSTED
C_41352;POSTED
C_41353;POSTED
C_41356;POSTED
C_41354;POSTED
C_41357;POSTED
C_41358;POSTED
C_41360;POSTED
C_41365;POSTED
C_41368;POSTED
C_41364;POSTED
C_41374;POSTED
C_41369;POSTED
C_41380;POSTED
C_41377;POSTED
C_41379;POSTED
C_41378;POSTED
C_41384;POSTED
C_41382;POSTED
C_41387;POSTED
C_41391;POSTED
C_41390;POSTED
C_41389;POSTED
C_41394;POSTED
C_41395;POSTED
C_41399;POSTED
C_41400;POSTED
C_41405;POSTED
C_41402;POSTED
C_41406;POSTED
C_41409;POSTED
C_41410;POSTED
C_41412;POSTED
C_41417;POSTED
C_41415;POSTED
C_41416;POSTED
C_41425;POSTED
C_41424;POSTED
C_41422;POSTED
C_41428;POSTED
C_41429;POSTED
C_41431;POSTED
C_41433;POSTED
C_41438;POSTED
C_41432;POSTED
C_41440;POSTED
91;FAILED
93;FAILED
112;SUBMITTED_TO_FDW
116;SUBMITTED_TO_FDW
C_40855;POSTED
C_41186;POSTED
C_41184;FAILED
C_41187;FAILED
C_41182;POSTED
C_41441;POSTED
C_41439;POSTED
C_41444;POSTED
C_41448;POSTED
C_41450;POSTED
C_41446;POSTED
C_41453;POSTED
C_41452;POSTED
C_41457;POSTED
C_41463;POSTED
C_41458;POSTED
C_41460;POSTED
C_41467;POSTED
C_41464;POSTED
C_41470;POSTED
C_41477;POSTED
C_41476;POSTED
C_41473;POSTED
C_41475;POSTED
C_41480;POSTED
C_41484;POSTED
C_41481;POSTED
C_41487;POSTED
C_41494;POSTED
C_41492;POSTED
C_41488;POSTED
C_41495;POSTED
C_41499;POSTED
C_41496;POSTED
C_41500;POSTED
C_41507;POSTED
C_41503;POSTED
C_41502;POSTED
C_41509;POSTED
C_41510;POSTED
C_41508;POSTED
C_41519;POSTED
C_41516;POSTED
C_41517;POSTED
C_41518;POSTED
C_41523;POSTED
C_41521;POSTED
C_41526;POSTED
C_41530;POSTED
C_41528;POSTED
C_41532;POSTED
C_41536;POSTED
C_41537;POSTED
C_41538;POSTED
C_41541;POSTED
C_41573;POSTED
C_41577;POSTED
C_41576;POSTED
C_41574;POSTED
C_41583;POSTED
C_41582;POSTED
C_41581;POSTED
C_41586;POSTED
C_41587;POSTED
C_41588;POSTED
C_41591;POSTED
C_41595;POSTED
C_41596;POSTED
C_41602;POSTED
C_41597;POSTED
C_41599;POSTED
C_41605;POSTED
C_41608;POSTED
C_41610;POSTED
C_41609;POSTED
C_41613;POSTED
C_41614;POSTED
C_41616;POSTED
C_41621;POSTED
C_41624;POSTED
C_41635;POSTED
C_41630;POSTED
C_41633;POSTED
C_41636;POSTED
C_41641;POSTED
C_41638;POSTED
C_41648;POSTED
C_41646;POSTED
C_41642;POSTED
C_41645;POSTED
C_41652;POSTED
C_41653;POSTED
C_41651;POSTED
C_41661;POSTED
C_41655;POSTED
C_41656;POSTED
C_41662;POSTED
C_41666;POSTED
C_41663;POSTED
C_41672;POSTED
C_41668;POSTED
C_41680;POSTED
C_41679;POSTED
C_41674;POSTED
C_41678;POSTED
C_41684;POSTED
C_41682;POSTED
C_41681;POSTED
C_41688;POSTED
C_41691;POSTED
C_41687;POSTED
C_41694;POSTED
C_41696;POSTED
C_41697;POSTED
C_41700;POSTED
C_41701;POSTED
C_41703;POSTED
C_41707;POSTED
C_41710;POSTED
C_41708;POSTED
C_41711;POSTED
C_41717;POSTED
C_41716;POSTED
C_41718;POSTED
C_41721;POSTED
C_41722;POSTED
C_41731;POSTED
C_41730;POSTED
C_41725;POSTED
C_41729;POSTED
C_41727;POSTED
C_41738;POSTED
C_41734;POSTED
C_41737;POSTED
C_41744;POSTED
C_41740;POSTED
C_41745;POSTED
C_41746;POSTED
C_24986;POSTED
C_24989;POSTED
C_25071;POSTED
C_25072;POSTED
C_25074;POSTED
C_25122;POSTED
C_25124;POSTED
C_25125;POSTED
C_25126;POSTED
C_25127;POSTED
C_25128;POSTED
C_25129;POSTED
C_25130;POSTED
C_25131;POSTED
C_25132;POSTED
C_25133;POSTED
C_25134;POSTED
C_25135;POSTED
C_25172;POSTED
C_25178;POSTED
C_40002;POSTED
C_40846;POSTED
C_40850;POSTED
C_40852;POSTED
C_40970;POSTED
C_40942;POSTED
C_41051;POSTED
C_40978;POSTED
C_41062;POSTED
C_40929;POSTED
C_41082;POSTED
C_40924;POSTED
C_40922;FAILED
C_41032;POSTED
C_41018;POSTED
C_41036;POSTED
C_40907;POSTED
C_40908;POSTED
C_40996;POSTED
C_40973;POSTED
C_40923;POSTED
C_40965;POSTED
C_41003;POSTED
C_40993;POSTED
C_41010;POSTED
C_41041;POSTED
C_40925;POSTED
C_40946;POSTED
C_41077;POSTED
C_41064;POSTED
C_40966;POSTED
C_41059;POSTED
C_41026;POSTED
C_41087;POSTED
C_41013;POSTED
C_41009;POSTED
C_40921;POSTED
C_41058;POSTED
C_40926;POSTED
C_40979;POSTED
C_40990;POSTED
C_41098;POSTED
C_41072;POSTED
C_41099;POSTED
C_41095;POSTED
C_41119;POSTED
C_41122;POSTED
C_41124;POSTED
C_25010;POSTED
C_25054;POSTED
C_25055;POSTED
C_25094;POSTED
C_40107;POSTED
C_41125;POSTED
C_41126;POSTED
C_41149;POSTED
C_41151;SUBMITTED_TO_FIM
C_41154;POSTED
C_41157;POSTED
C_41156;POSTED
C_41158;POSTED
C_41161;POSTED
C_41163;POSTED
C_41192;POSTED
C_41197;POSTED
